feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
principled_expression_no_position,0.8,3,722,181,rf,0.7397348160821214,0.5078756515162568,,,0.35,0.2,0.11
principled_expression_no_position,0.8,3,722,181,xgb,0.7532078699743372,0.45790906264465026,,,0.35,0.16,0.12
principled_expression_no_position,0.8,3,722,181,ensemble,0.7844311377245509,0.5450793714651407,,,0.45,0.2,0.11
principled_expression_no_position,0.8,4,722,181,logreg,0.7840034217279727,0.3451931180162676,,,0.45,0.2,0.11
principled_expression_no_position,0.8,4,722,181,rf,0.7949101796407185,0.45209688168057527,,,0.4,0.2,0.12
principled_expression_no_position,0.8,4,722,181,xgb,0.7455089820359281,0.39219912924822864,,,0.25,0.18,0.11
principled_expression_no_position,0.8,4,722,181,ensemble,0.7899914456800685,0.5100172478450704,,,0.45,0.2,0.11
principled_expression_no_position,0.8,5,722,181,logreg,0.7125748502994012,0.3089714038553735,,,0.3,0.16,0.11
principled_expression_no_position,0.8,5,722,181,rf,0.7082976903336184,0.5065893741594644,,,0.35,0.16,0.11
principled_expression_no_position,0.8,5,722,181,xgb,0.7262617621899059,0.4478785436223713,,,0.35,0.18,0.1
principled_expression_no_position,0.8,5,722,181,ensemble,0.7275449101796407,0.5301355642241009,,,0.4,0.18,0.1
principled_expression_no_position,0.8,6,722,181,logreg,0.6415739948674081,0.20200918440211904,,,0.25,0.14,0.1
principled_expression_no_position,0.8,6,722,181,rf,0.6629597946963217,0.34487586554965555,,,0.25,0.14,0.11
principled_expression_no_position,0.8,6,722,181,xgb,0.6479897348160821,0.3655450946627268,,,0.35,0.18,0.09
principled_expression_no_position,0.8,6,722,181,ensemble,0.6518391787852865,0.3893063870521052,,,0.3,0.16,0.1
principled_expression_no_position,0.8,7,722,181,logreg,0.6958939264328485,0.3419199529011642,,,0.3,0.18,0.1
principled_expression_no_position,0.8,7,722,181,rf,0.7204875962360993,0.423626219504565,,,0.35,0.18,0.1
principled_expression_no_position,0.8,7,722,181,xgb,0.7070145423438837,0.3498027174820282,,,0.3,0.18,0.11
principled_expression_no_position,0.8,7,722,181,ensemble,0.6916167664670658,0.41791946626067816,,,0.35,0.18,0.1
principled_expression_no_position,0.8,8,722,181,logreg,0.7557741659538066,0.2370012443102511,,,0.35,0.18,0.11
principled_expression_no_position,0.8,8,722,181,rf,0.8293413173652695,0.6164827146148293,,,0.5,0.2,0.12
principled_expression_no_position,0.8,8,722,181,xgb,0.8280581693755346,0.6015576378250207,,,0.35,0.22,0.11
principled_expression_no_position,0.8,8,722,181,ensemble,0.7994011976047903,0.6156113363879592,,,0.45,0.22,0.11
principled_expression_no_position,0.8,9,722,181,logreg,0.778443113772455,0.27082187742749103,,,0.3,0.16,0.12
principled_expression_no_position,0.8,9,722,181,rf,0.7812232677502139,0.3440702540915061,,,0.3,0.18,0.12
principled_expression_no_position,0.8,9,722,181,xgb,0.7023096663815227,0.35035063134336736,,,0.25,0.14,0.11
principled_expression_no_position,0.8,9,722,181,ensemble,0.7686056458511549,0.411161011032661,,,0.3,0.14,0.12
principled_expression_no_position,0.8,10,722,181,logreg,0.8473053892215568,0.43275363475064504,,,0.4,0.22,0.12
principled_expression_no_position,0.8,10,722,181,rf,0.8346877673224979,0.5181625793189121,,,0.4,0.2,0.12
principled_expression_no_position,0.8,10,722,181,xgb,0.7801539777587682,0.45731324152108793,,,0.25,0.18,0.11
principled_expression_no_position,0.8,10,722,181,ensemble,0.8669803250641575,0.5852654066181001,,,0.45,0.24,0.12
principled_expression_no_position,0.8,11,722,181,logreg,0.8605645851154833,0.5226292662538958,,,0.45,0.18,0.14
principled_expression_no_position,0.8,11,722,181,rf,0.8473053892215567,0.4511711135415114,,,0.4,0.24,0.12
principled_expression_no_position,0.8,11,722,181,xgb,0.886655260906758,0.5688264615936763,,,0.4,0.26,0.13
principled_expression_no_position,0.8,11,722,181,ensemble,0.8789563729683489,0.6215843931881739,,,0.45,0.22,0.14
principled_expression_no_position,0.8,12,722,181,logreg,0.6702309666381523,0.18867339491652252,,,0.15,0.16,0.12
principled_expression_no_position,0.8,12,722,181,rf,0.7495722840034217,0.458497203520136,,,0.35,0.18,0.11
principled_expression_no_position,0.8,12,722,181,xgb,0.7557741659538066,0.42496407775829353,,,0.25,0.18,0.11
principled_expression_no_position,0.8,12,722,181,ensemble,0.712147134302823,0.3852915355909868,,,0.2,0.18,0.11
principled_expression_no_position,0.8,13,722,181,logreg,0.7767322497861421,0.3421408020320642,,,0.4,0.2,0.12
principled_expression_no_position,0.8,13,722,181,rf,0.7765183917878529,0.39047410872953414,,,0.3,0.18,0.12
principled_expression_no_position,0.8,13,722,181,xgb,0.7104362703165099,0.4385478374433195,,,0.3,0.18,0.1
principled_expression_no_position,0.8,13,722,181,ensemble,0.7865697177074422,0.5190508784170892,,,0.4,0.2,0.12
principled_expression_no_position,0.8,14,722,181,logreg,0.7236954662104362,0.3365909913598708,,,0.3,0.14,0.11
principled_expression_no_position,0.8,14,722,181,rf,0.8445252352437981,0.5099954454389388,,,0.35,0.2,0.13
principled_expression_no_position,0.8,14,722,181,xgb,0.7869974337040205,0.4980756827872356,,,0.4,0.2,0.11
principled_expression_no_position,0.8,14,722,181,ensemble,0.7908468776732249,0.4969899884167098,,,0.35,0.18,0.12
principled_expression_no_position,0.8,15,722,181,logreg,0.8280581693755346,0.4455564072916835,,,0.35,0.22,0.13
principled_expression_no_position,0.8,15,722,181,rf,0.8167236954662105,0.5836578667141327,,,0.5,0.2,0.11
principled_expression_no_position,0.8,15,722,181,xgb,0.7921300256629599,0.49759149471327374,,,0.4,0.22,0.11
principled_expression_no_position,0.8,15,722,181,ensemble,0.8408896492728829,0.5793790814056997,,,0.45,0.2,0.13
principled_expression_no_position,0.8,16,722,181,logreg,0.7117194183062446,0.22019250202499024,,,0.25,0.14,0.11
principled_expression_no_position,0.8,16,722,181,rf,0.6550470487596236,0.33746833605070026,,,0.25,0.14,0.1
principled_expression_no_position,0.8,16,722,181,xgb,0.6394354148845167,0.26457929794701596,,,0.15,0.14,0.08
principled_expression_no_position,0.8,16,722,181,ensemble,0.6920444824636441,0.3247046206834258,,,0.3,0.14,0.1
principled_expression_no_position,0.8,17,722,181,logreg,0.8374679213002567,0.46609777731945284,,,0.35,0.2,0.13
principled_expression_no_position,0.8,17,722,181,rf,0.8276304533789564,0.5790068594687792,,,0.4,0.2,0.12
principled_expression_no_position,0.8,17,722,181,xgb,0.7771599657827202,0.37061268264059727,,,0.3,0.2,0.12
principled_expression_no_position,0.8,17,722,181,ensemble,0.8417450812660394,0.5117644060021725,,,0.45,0.22,0.13
principled_expression_no_position,0.8,18,722,181,logreg,0.7844311377245509,0.2782962527222501,,,0.3,0.2,0.12
principled_expression_no_position,0.8,18,722,181,rf,0.8498716852010265,0.6692096231569915,,,0.5,0.22,0.11
principled_expression_no_position,0.8,18,722,181,xgb,0.8126603934987169,0.5753657212851344,,,0.4,0.2,0.11
principled_expression_no_position,0.8,18,722,181,ensemble,0.8763900769888794,0.6141209775446227,,,0.5,0.22,0.13
principled_expression_no_position,0.8,19,722,181,logreg,0.7271171941830624,0.31429727265476376,,,0.25,0.16,0.11
principled_expression_no_position,0.8,19,722,181,rf,0.7902053036783576,0.5243288672460855,,,0.45,0.22,0.11
principled_expression_no_position,0.8,19,722,181,xgb,0.8182207014542344,0.5751671041264437,,,0.45,0.18,0.12
principled_expression_no_position,0.8,19,722,181,ensemble,0.8173652694610778,0.5613159943388942,,,0.45,0.2,0.11
principled_expression_no_position,0.8,20,722,181,logreg,0.7189905902480753,0.31584407400795533,,,0.25,0.18,0.1
principled_expression_no_position,0.8,20,722,181,rf,0.7251924721984602,0.45390626143530644,,,0.3,0.16,0.11
principled_expression_no_position,0.8,20,722,181,xgb,0.7236954662104362,0.43461569006589734,,,0.3,0.16,0.11
principled_expression_no_position,0.8,20,722,181,ensemble,0.723267750213858,0.4607462466789906,,,0.35,0.16,0.1
principled_expression_no_position,0.9,1,812,91,logreg,0.729591836734694,0.5148624401913875,,,0.2,0.1,0.07692307692307693
principled_expression_no_position,0.9,1,812,91,rf,0.6275510204081632,0.49783111625216886,,,0.2,0.08,0.07692307692307693
principled_expression_no_position,0.9,1,812,91,xgb,0.6717687074829932,0.40517509617936676,,,0.2,0.08,0.07692307692307693
principled_expression_no_position,0.9,1,812,91,ensemble,0.6989795918367347,0.5524793381097874,,,0.2,0.1,0.07692307692307693
principled_expression_no_position,0.9,2,812,91,logreg,0.6972789115646258,0.22574317437412675,,,0.15,0.12,0.07692307692307693
principled_expression_no_position,0.9,2,812,91,rf,0.7925170068027212,0.6267877050485746,,,0.25,0.1,0.07692307692307693
principled_expression_no_position,0.9,2,812,91,xgb,0.7414965986394558,0.5918894626123541,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,2,812,91,ensemble,0.7465986394557823,0.5987958401751505,,,0.2,0.1,0.07692307692307693
principled_expression_no_position,0.9,3,812,91,logreg,0.8112244897959183,0.23672272428032795,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,3,812,91,rf,0.7848639455782312,0.546912030307035,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,3,812,91,xgb,0.7091836734693877,0.5028438047459787,,,0.15,0.1,0.07692307692307693
principled_expression_no_position,0.9,3,812,91,ensemble,0.8248299319727891,0.5546079128168679,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,4,812,91,logreg,0.7465986394557823,0.31791760182333806,,,0.15,0.14,0.07692307692307693
principled_expression_no_position,0.9,4,812,91,rf,0.8018707482993197,0.3457857931542142,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,4,812,91,xgb,0.6598639455782312,0.15974549148799982,,,0.15,0.1,0.07692307692307693
principled_expression_no_position,0.9,4,812,91,ensemble,0.7568027210884354,0.23271876932591218,,,0.15,0.12,0.07692307692307693
principled_expression_no_position,0.9,5,812,91,logreg,0.653061224489796,0.19828782328782327,,,0.15,0.1,0.07692307692307693
principled_expression_no_position,0.9,5,812,91,rf,0.7508503401360545,0.18744778308345672,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,5,812,91,xgb,0.7142857142857143,0.16824760207113149,,,0.15,0.12,0.07692307692307693
principled_expression_no_position,0.9,5,812,91,ensemble,0.6700680272108843,0.1786979868947082,,,0.2,0.08,0.07692307692307693
principled_expression_no_position,0.9,6,812,91,logreg,0.6156462585034013,0.2858150667674477,,,0.2,0.08,0.07692307692307693
principled_expression_no_position,0.9,6,812,91,rf,0.6343537414965986,0.2722502722502722,,,0.2,0.08,0.07692307692307693
principled_expression_no_position,0.9,6,812,91,xgb,0.6241496598639455,0.28396404609016773,,,0.15,0.1,0.07692307692307693
principled_expression_no_position,0.9,6,812,91,ensemble,0.6139455782312925,0.3309442437261986,,,0.2,0.08,0.07692307692307693
principled_expression_no_position,0.9,7,812,91,logreg,0.7976190476190477,0.34102564102564104,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,7,812,91,rf,0.6683673469387755,0.45023674398051267,,,0.15,0.1,0.07692307692307693
principled_expression_no_position,0.9,7,812,91,xgb,0.75,0.4732084345674609,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,7,812,91,ensemble,0.7823129251700681,0.5126150460184073,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,8,812,91,logreg,0.935374149659864,0.5352171637885923,,,0.3,0.14,0.07692307692307693
principled_expression_no_position,0.9,8,812,91,rf,0.9523809523809523,0.5770408163265306,,,0.3,0.14,0.07692307692307693
principled_expression_no_position,0.9,8,812,91,xgb,0.9149659863945578,0.543563579277865,,,0.25,0.14,0.07692307692307693
principled_expression_no_position,0.9,8,812,91,ensemble,0.9727891156462585,0.728113553113553,,,0.35,0.14,0.07692307692307693
principled_expression_no_position,0.9,9,812,91,logreg,0.6564625850340136,0.20041740996856525,,,0.15,0.1,0.07692307692307693
principled_expression_no_position,0.9,9,812,91,rf,0.7585034013605442,0.3598657597794785,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,9,812,91,xgb,0.7380952380952381,0.24693381419889132,,,0.15,0.12,0.07692307692307693
principled_expression_no_position,0.9,9,812,91,ensemble,0.6802721088435374,0.22315626002261948,,,0.15,0.1,0.07692307692307693
principled_expression_no_position,0.9,10,812,91,logreg,0.8775510204081632,0.5441421012849583,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,10,812,91,rf,0.8715986394557823,0.4244157086337861,,,0.25,0.14,0.07692307692307693
principled_expression_no_position,0.9,10,812,91,xgb,0.7619047619047619,0.3697994987468672,,,0.2,0.1,0.07692307692307693
principled_expression_no_position,0.9,10,812,91,ensemble,0.8809523809523809,0.5423086230539647,,,0.25,0.14,0.07692307692307693
principled_expression_no_position,0.9,11,812,91,logreg,0.7023809523809524,0.2979896982716531,,,0.2,0.1,0.07692307692307693
principled_expression_no_position,0.9,11,812,91,rf,0.7814625850340137,0.6051448551448552,,,0.25,0.1,0.07692307692307693
principled_expression_no_position,0.9,11,812,91,xgb,0.8282312925170068,0.7472943722943723,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,11,812,91,ensemble,0.7448979591836735,0.7370628468189444,,,0.25,0.1,0.07692307692307693
principled_expression_no_position,0.9,12,812,91,logreg,0.4914965986394558,0.1422475493757695,,,0.05,0.06,0.07692307692307693
principled_expression_no_position,0.9,12,812,91,rf,0.5986394557823129,0.13186322803244854,,,0.15,0.08,0.07692307692307693
principled_expression_no_position,0.9,12,812,91,xgb,0.6020408163265306,0.11059874585220207,,,0.05,0.1,0.07692307692307693
principled_expression_no_position,0.9,12,812,91,ensemble,0.48979591836734687,0.09575487828688803,,,0.05,0.08,0.07692307692307693
principled_expression_no_position,0.9,13,812,91,logreg,0.8435374149659863,0.3601782292648803,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,13,812,91,rf,0.8732993197278912,0.7088023088023088,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,13,812,91,xgb,0.826530612244898,0.6144358644358645,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,13,812,91,ensemble,0.8809523809523808,0.7231465761177136,,,0.3,0.12,0.07692307692307693
principled_expression_no_position,0.9,14,812,91,logreg,0.8486394557823128,0.5319823034108748,,,0.3,0.12,0.07692307692307693
principled_expression_no_position,0.9,14,812,91,rf,0.8945578231292517,0.42922202819037925,,,0.3,0.14,0.07692307692307693
principled_expression_no_position,0.9,14,812,91,xgb,0.8316326530612245,0.5839826839826839,,,0.3,0.12,0.07692307692307693
principled_expression_no_position,0.9,14,812,91,ensemble,0.8520408163265306,0.5686106088004822,,,0.3,0.12,0.07692307692307693
principled_expression_no_position,0.9,15,812,91,logreg,0.760204081632653,0.2179584456082152,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,15,812,91,rf,0.8664965986394557,0.4881673881673882,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,15,812,91,xgb,0.7142857142857142,0.33563621308241587,,,0.15,0.12,0.07692307692307693
principled_expression_no_position,0.9,15,812,91,ensemble,0.7942176870748299,0.43730044972280996,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,16,812,91,logreg,0.7551020408163265,0.18814590078201693,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,16,812,91,rf,0.733843537414966,0.383465441662163,,,0.2,0.1,0.07692307692307693
principled_expression_no_position,0.9,16,812,91,xgb,0.8061224489795917,0.3404717150017902,,,0.25,0.14,0.07692307692307693
principled_expression_no_position,0.9,16,812,91,ensemble,0.7636054421768707,0.30093053943985615,,,0.15,0.12,0.07692307692307693
principled_expression_no_position,0.9,17,812,91,logreg,0.8214285714285714,0.45414784508323564,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,17,812,91,rf,0.7797619047619048,0.49290829462180147,,,0.2,0.1,0.07692307692307693
principled_expression_no_position,0.9,17,812,91,xgb,0.7465986394557823,0.457946001367054,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,17,812,91,ensemble,0.8401360544217686,0.5422077922077921,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,18,812,91,logreg,0.7619047619047619,0.3730737516451802,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,18,812,91,rf,0.8937074829931974,0.6719200339889995,,,0.3,0.12,0.07692307692307693
principled_expression_no_position,0.9,18,812,91,xgb,0.8758503401360543,0.7312204703509051,,,0.3,0.12,0.07692307692307693
principled_expression_no_position,0.9,18,812,91,ensemble,0.9013605442176871,0.6839472896076668,,,0.3,0.12,0.07692307692307693
principled_expression_no_position,0.9,19,812,91,logreg,0.8860544217687075,0.6898837695997939,,,0.3,0.12,0.07692307692307693
principled_expression_no_position,0.9,19,812,91,rf,0.8732993197278912,0.572197342886998,,,0.25,0.14,0.07692307692307693
principled_expression_no_position,0.9,19,812,91,xgb,0.8707482993197279,0.5394573389996731,,,0.25,0.14,0.07692307692307693
principled_expression_no_position,0.9,19,812,91,ensemble,0.8860544217687075,0.6621507064364207,,,0.25,0.14,0.07692307692307693
principled_expression_no_position,0.9,20,812,91,logreg,0.7636054421768708,0.20513359189829777,,,0.2,0.12,0.07692307692307693
principled_expression_no_position,0.9,20,812,91,rf,0.8375850340136055,0.3995290423861852,,,0.25,0.12,0.07692307692307693
principled_expression_no_position,0.9,20,812,91,xgb,0.8435374149659863,0.3579574064749267,,,0.2,0.12,0.07692307692307693
