feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
baseline_full,0.8,2,722,181,logreg,0.723267750213858,0.4289150769841782,,,0.3,0.16,0.1
baseline_full,0.8,2,722,181,rf,0.7523524379811806,0.42632133270126565,,,0.25,0.16,0.12
baseline_full,0.8,2,722,181,xgb,0.7044482463644139,0.41068344833444875,,,0.25,0.14,0.11
baseline_full,0.8,2,722,181,ensemble,0.7288280581693756,0.45075751037091694,,,0.3,0.18,0.1
baseline_full,0.8,3,722,181,logreg,0.7467921300256629,0.26955117267574286,,,0.25,0.18,0.12
baseline_full,0.8,3,722,181,rf,0.7842172797262618,0.5522855314630726,,,0.4,0.22,0.11
baseline_full,0.8,3,722,181,xgb,0.7506415739948674,0.5491730382525286,,,0.4,0.2,0.1
baseline_full,0.8,3,722,181,ensemble,0.7934131736526946,0.5778829275484569,,,0.45,0.22,0.11
baseline_full,0.8,4,722,181,logreg,0.7480752780153977,0.3635239909568127,,,0.45,0.18,0.11
baseline_full,0.8,4,722,181,rf,0.8733960650128314,0.5878370371472846,,,0.5,0.24,0.13
baseline_full,0.8,4,722,181,xgb,0.8387510692899914,0.4890035279324129,,,0.45,0.2,0.13
baseline_full,0.8,4,722,181,ensemble,0.8417450812660393,0.595436265415257,,,0.5,0.22,0.12
baseline_full,0.8,5,722,181,logreg,0.7147134302822925,0.44836412151300453,,,0.4,0.16,0.1
baseline_full,0.8,5,722,181,rf,0.7949101796407186,0.5741324395380061,,,0.45,0.18,0.12
baseline_full,0.8,5,722,181,xgb,0.7805816937553465,0.4611467454751779,,,0.35,0.2,0.11
baseline_full,0.8,5,722,181,ensemble,0.7258340461933276,0.5342915035546465,,,0.35,0.16,0.1
baseline_full,0.8,6,722,181,logreg,0.6556886227544911,0.3209489802100045,,,0.35,0.14,0.1
baseline_full,0.8,6,722,181,rf,0.726475620188195,0.4692279419040683,,,0.3,0.2,0.1
baseline_full,0.8,6,722,181,xgb,0.6561163387510693,0.3987293142808413,,,0.25,0.16,0.09
baseline_full,0.8,6,722,181,ensemble,0.6792130025662959,0.4338681916574187,,,0.3,0.16,0.1
baseline_full,0.8,7,722,181,logreg,0.7309666381522669,0.42759983727046935,,,0.3,0.18,0.1
baseline_full,0.8,7,722,181,rf,0.712360992301112,0.5245582061904513,,,0.35,0.16,0.1
baseline_full,0.8,7,722,181,xgb,0.7352437981180496,0.4641915483041778,,,0.35,0.16,0.11
baseline_full,0.8,7,722,181,ensemble,0.7125748502994013,0.5284165414481768,,,0.35,0.18,0.1
baseline_full,0.8,8,722,181,logreg,0.7480752780153979,0.28994144503314195,,,0.3,0.2,0.11
baseline_full,0.8,8,722,181,rf,0.8810949529512404,0.7070398813009651,,,0.45,0.2,0.13
baseline_full,0.8,8,722,181,xgb,0.7882805816937554,0.628587845394568,,,0.4,0.2,0.11
baseline_full,0.8,8,722,181,ensemble,0.8267750213857998,0.6613387075439646,,,0.45,0.22,0.12
baseline_full,0.8,9,722,181,logreg,0.8100940975192472,0.3360440651131828,,,0.3,0.18,0.13
baseline_full,0.8,9,722,181,rf,0.79704875962361,0.4727073941140767,,,0.35,0.2,0.11
baseline_full,0.8,9,722,181,xgb,0.7360992301112063,0.30308380618824626,,,0.3,0.18,0.12
baseline_full,0.8,9,722,181,ensemble,0.8246364414029085,0.44454577436760323,,,0.35,0.22,0.12
baseline_full,0.8,10,722,181,logreg,0.7959794696321641,0.43897989360257605,,,0.4,0.2,0.11
baseline_full,0.8,10,722,181,rf,0.8650556030795551,0.6009478685565642,,,0.45,0.22,0.13
baseline_full,0.8,10,722,181,xgb,0.8293413173652695,0.5318723396037942,,,0.4,0.2,0.12
baseline_full,0.8,10,722,181,ensemble,0.8515825491873397,0.6356396447467875,,,0.5,0.22,0.12
baseline_full,0.8,11,722,181,logreg,0.8310521813515825,0.45080603642516553,,,0.35,0.18,0.13
baseline_full,0.8,11,722,181,rf,0.8423866552609067,0.4863270138933361,,,0.45,0.2,0.13
baseline_full,0.8,11,722,181,xgb,0.8301967493584259,0.37885165409471644,,,0.45,0.2,0.12
baseline_full,0.8,11,722,181,ensemble,0.8477331052181352,0.43851820644000494,,,0.45,0.18,0.13
baseline_full,0.8,12,722,181,logreg,0.6719418306244654,0.2343317792858025,,,0.2,0.16,0.1
baseline_full,0.8,12,722,181,rf,0.7192044482463644,0.4590921663456471,,,0.25,0.18,0.1
baseline_full,0.8,12,722,181,xgb,0.7155688622754491,0.44513082191292314,,,0.25,0.16,0.12
baseline_full,0.8,12,722,181,ensemble,0.7177074422583405,0.438394401457827,,,0.25,0.18,0.11
baseline_full,0.8,13,722,181,logreg,0.7694610778443114,0.3984758573272924,,,0.4,0.2,0.11
baseline_full,0.8,13,722,181,rf,0.8242087254063302,0.5390245769091938,,,0.4,0.22,0.11
baseline_full,0.8,13,722,181,xgb,0.7976903336184774,0.5658047419734351,,,0.4,0.2,0.12
baseline_full,0.8,13,722,181,ensemble,0.8254918733960651,0.5869738699445496,,,0.5,0.22,0.11
baseline_full,0.8,14,722,181,logreg,0.662104362703165,0.3011330216151844,,,0.3,0.14,0.1
baseline_full,0.8,14,722,181,rf,0.8733960650128314,0.5686153502649666,,,0.45,0.22,0.13
baseline_full,0.8,14,722,181,xgb,0.811377245508982,0.5523259305994465,,,0.35,0.18,0.12
baseline_full,0.8,14,722,181,ensemble,0.7869974337040205,0.5651939128378776,,,0.4,0.2,0.12
baseline_full,0.8,15,722,181,logreg,0.8212147134302823,0.5463774209237872,,,0.35,0.2,0.13
baseline_full,0.8,15,722,181,rf,0.8997005988023952,0.6931272486911584,,,0.45,0.24,0.14
baseline_full,0.8,15,722,181,xgb,0.8725406330196749,0.6731807076897744,,,0.45,0.24,0.13
baseline_full,0.8,15,722,181,ensemble,0.864841745081266,0.649146418098031,,,0.4,0.24,0.13
baseline_full,0.8,16,722,181,logreg,0.7262617621899059,0.30930933327174764,,,0.3,0.14,0.12
baseline_full,0.8,16,722,181,rf,0.7198460222412318,0.38636739564799105,,,0.3,0.18,0.11
baseline_full,0.8,16,722,181,xgb,0.6749358426005133,0.3744654139606861,,,0.25,0.18,0.1
baseline_full,0.8,16,722,181,ensemble,0.7459366980325064,0.416081744611483,,,0.35,0.14,0.13
baseline_full,0.8,17,722,181,logreg,0.8203592814371257,0.4511726378654485,,,0.35,0.2,0.13
baseline_full,0.8,17,722,181,rf,0.8252780153977759,0.6078708816833124,,,0.45,0.2,0.12
baseline_full,0.8,17,722,181,xgb,0.7972626176218991,0.5781290795707225,,,0.4,0.2,0.11
baseline_full,0.8,17,722,181,ensemble,0.8370402053036783,0.6199551388880131,,,0.45,0.22,0.12
baseline_full,0.8,18,722,181,logreg,0.8053892215568863,0.4587443842845675,,,0.4,0.2,0.12
baseline_full,0.8,18,722,181,rf,0.9073994867408042,0.6661802170260817,,,0.45,0.24,0.14
baseline_full,0.8,18,722,181,xgb,0.8567151411462789,0.6027869165158344,,,0.45,0.22,0.13
