feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
principled_expression,0.7,6,632,271,logreg,0.7788844621513945,0.3433993800044007,,,0.35,0.24,0.15
principled_expression,0.7,6,632,271,rf,0.8267928286852589,0.6186670676740653,,,0.55,0.26,0.17
principled_expression,0.7,6,632,271,xgb,0.7749003984063745,0.4349218924862516,,,0.4,0.24,0.14
principled_expression,0.7,6,632,271,ensemble,0.7999999999999999,0.5516475365084362,,,0.5,0.26,0.15
principled_expression,0.7,7,632,271,logreg,0.7113545816733068,0.2315210531058856,,,0.2,0.22,0.13
principled_expression,0.7,7,632,271,rf,0.7577689243027887,0.4201599344229174,,,0.4,0.22,0.14
principled_expression,0.7,7,632,271,xgb,0.7591633466135459,0.4198989841580319,,,0.35,0.22,0.14
principled_expression,0.7,7,632,271,ensemble,0.7420318725099602,0.3744248759148885,,,0.35,0.26,0.14
principled_expression,0.7,8,632,271,logreg,0.7758964143426295,0.22319549185292512,,,0.2,0.24,0.15
principled_expression,0.7,8,632,271,rf,0.8635458167330677,0.6176928073363774,,,0.55,0.26,0.18
principled_expression,0.7,8,632,271,xgb,0.802988047808765,0.5323808569310783,,,0.5,0.28,0.15
principled_expression,0.7,8,632,271,ensemble,0.8515936254980079,0.5816054966387671,,,0.5,0.3,0.17
principled_expression,0.7,9,632,271,logreg,0.7109561752988047,0.26477294979708543,,,0.35,0.2,0.14
principled_expression,0.7,9,632,271,rf,0.8660358565737052,0.5524923848628674,,,0.45,0.32,0.17
principled_expression,0.7,9,632,271,xgb,0.7974103585657369,0.48657029100597476,,,0.4,0.24,0.16
principled_expression,0.7,9,632,271,ensemble,0.7633466135458167,0.48469879858290055,,,0.45,0.22,0.16
principled_expression,0.7,10,632,271,logreg,0.798605577689243,0.35974952633904306,,,0.45,0.26,0.14
principled_expression,0.7,10,632,271,rf,0.8178286852589641,0.6097349360047919,,,0.6,0.3,0.15
principled_expression,0.7,10,632,271,xgb,0.7774900398406375,0.571148447044531,,,0.55,0.26,0.15
principled_expression,0.7,10,632,271,ensemble,0.8378486055776893,0.6221284869624735,,,0.6,0.3,0.16
principled_expression,0.7,11,632,271,logreg,0.7820717131474103,0.3070308151487899,,,0.35,0.26,0.15
principled_expression,0.7,11,632,271,rf,0.7885458167330678,0.6049688699860598,,,0.55,0.28,0.14
principled_expression,0.7,11,632,271,xgb,0.7268924302788845,0.5523157585557343,,,0.55,0.22,0.14
principled_expression,0.7,11,632,271,ensemble,0.8119521912350598,0.6219206440815171,,,0.55,0.26,0.16
principled_expression,0.7,12,632,271,logreg,0.7131474103585657,0.2998894727325167,,,0.35,0.22,0.14
principled_expression,0.7,12,632,271,rf,0.7644422310756973,0.48812895752767144,,,0.4,0.24,0.15
principled_expression,0.7,12,632,271,xgb,0.7549800796812749,0.4741269410433604,,,0.4,0.26,0.15
principled_expression,0.7,12,632,271,ensemble,0.755378486055777,0.5082610549349048,,,0.5,0.22,0.14
principled_expression,0.7,13,632,271,logreg,0.7422310756972111,0.20936101855331352,,,0.2,0.18,0.14
principled_expression,0.7,13,632,271,rf,0.8817729083665339,0.6595178871271967,,,0.65,0.32,0.17
principled_expression,0.7,13,632,271,xgb,0.8424302788844622,0.6101070208609076,,,0.5,0.3,0.17
principled_expression,0.7,13,632,271,ensemble,0.8752988047808764,0.6502323201970291,,,0.6,0.3,0.17
principled_expression,0.7,14,632,271,logreg,0.6203187250996016,0.12368980477235156,,,0.2,0.1,0.11
principled_expression,0.7,14,632,271,rf,0.7140438247011952,0.353323059493356,,,0.35,0.26,0.14
principled_expression,0.7,14,632,271,xgb,0.75597609561753,0.4192408888603599,,,0.4,0.26,0.15
principled_expression,0.7,14,632,271,ensemble,0.7145418326693227,0.3288931997032546,,,0.3,0.16,0.15
principled_expression,0.7,15,632,271,logreg,0.7641434262948207,0.26630924210777757,,,0.25,0.22,0.16
principled_expression,0.7,15,632,271,rf,0.8337649402390439,0.5271049267227534,,,0.45,0.3,0.17
principled_expression,0.7,15,632,271,xgb,0.7348605577689243,0.4470627689585503,,,0.35,0.2,0.14
principled_expression,0.7,15,632,271,ensemble,0.8009960159362549,0.4935349466012015,,,0.35,0.24,0.17
principled_expression,0.7,16,632,271,logreg,0.7247011952191235,0.3031461636800265,,,0.4,0.18,0.14
principled_expression,0.7,16,632,271,rf,0.7743027888446216,0.5122290765871371,,,0.5,0.26,0.14
principled_expression,0.7,16,632,271,xgb,0.7446215139442232,0.49088208137283806,,,0.45,0.22,0.14
principled_expression,0.7,16,632,271,ensemble,0.748207171314741,0.5373034403908276,,,0.5,0.22,0.14
principled_expression,0.7,17,632,271,logreg,0.801394422310757,0.3791504377332873,,,0.4,0.24,0.16
principled_expression,0.7,17,632,271,rf,0.8154382470119522,0.4204604956056438,,,0.4,0.26,0.16
principled_expression,0.7,17,632,271,xgb,0.8105577689243028,0.4792797004720512,,,0.4,0.2,0.16
principled_expression,0.7,17,632,271,ensemble,0.8103585657370518,0.5193026452577655,,,0.45,0.26,0.16
principled_expression,0.7,18,632,271,logreg,0.7378486055776893,0.22629504596825734,,,0.25,0.18,0.15
principled_expression,0.7,18,632,271,rf,0.7834661354581675,0.4301463340223592,,,0.45,0.22,0.15
principled_expression,0.7,18,632,271,xgb,0.7619521912350598,0.4267836949567418,,,0.4,0.22,0.15
principled_expression,0.7,18,632,271,ensemble,0.7750996015936255,0.433880605689357,,,0.4,0.22,0.15
principled_expression,0.7,19,632,271,logreg,0.8077689243027888,0.3716751156577606,,,0.5,0.22,0.16
principled_expression,0.7,19,632,271,rf,0.8120517928286852,0.5218009605053613,,,0.55,0.24,0.14
principled_expression,0.7,19,632,271,xgb,0.8135458167330677,0.509367781879612,,,0.5,0.24,0.14
principled_expression,0.7,19,632,271,ensemble,0.851593625498008,0.5877625114942469,,,0.55,0.3,0.17
principled_expression,0.7,20,632,271,logreg,0.7731075697211156,0.29267512362920933,,,0.3,0.2,0.16
